time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
2024-08-08 02:57:00,57392.15,57358.79,57382.82,15.99,917564.66,57368.9,direct,
2024-08-08 02:58:00,57375.53,57347.56,57368.9,6.106,350223.43,57352.8,direct,
2024-08-08 02:59:00,57384.3,57347.52,57352.8,15.47,887221.52,57375.37,direct,
2024-08-08 03:00:00,57432.51,57375.37,57375.37,20.1,1154006.35,57424.28,direct,
2024-08-08 03:01:00,57441.01,57410.04,57424.28,21.63,1242522.33,57416.96,direct,
2024-08-08 03:02:00,57453.85,57416.96,57416.96,10.24,588355.37,57448.61,direct,
2024-08-08 03:03:00,57530.01,57445.9,57448.61,16.85,968647.95,57528.49,direct,
2024-08-08 03:04:00,57626.35,57520.75,57528.49,64.58,3718711.51,57552.56,direct,
2024-08-08 03:05:00,57559.1,57508.83,57552.56,14.69,845092.66,57556.31,direct,
2024-08-08 03:06:00,57645.2,57556.31,57556.31,38.88,2239999.33,57595.44,direct,
2024-08-08 03:07:00,57610.14,57522.62,57595.44,21.02,1209771.45,57527.75,direct,
2024-08-08 03:08:00,57527.75,57447.32,57527.75,17.11,983330.13,57450.68,direct,
2024-08-08 03:09:00,57458.38,57405.0,57450.68,23.85,1369613.72,57420.0,direct,
2024-08-08 03:10:00,57449.72,57415.32,57420.0,10.35,594154.08,57426.81,direct,
2024-08-08 03:11:00,57445.19,57398.44,57426.81,16.81,965126.78,57432.77,direct,
2024-08-08 03:12:00,57481.62,57427.65,57432.77,18.36,1054924.43,57471.51,direct,
2024-08-08 03:13:00,57473.66,57412.98,57471.51,9.573,549956.68,57442.11,direct,
2024-08-08 03:14:00,57459.68,57431.42,57442.11,10.98,630702.88,57452.24,direct,
2024-08-08 03:15:00,57455.47,57397.88,57452.24,19.8,1137189.24,57404.12,direct,
2024-08-08 03:16:00,57565.79,57403.41,57404.12,29.61,1703167.34,57563.26,direct,
2024-08-08 03:17:00,57586.77,57552.57,57563.26,22.47,1293309.59,57579.17,direct,
2024-08-08 03:18:00,57608.22,57518.48,57579.17,31.55,1816347.19,57566.05,direct,
2024-08-08 03:19:00,57566.09,57417.16,57566.05,151.41,8698837.02,57419.07,direct,
2024-08-08 03:20:00,57456.02,57408.31,57419.07,20.21,1160598.8,57455.05,direct,
2024-08-08 03:21:00,57494.0,57449.9,57455.05,12.12,696463.81,57489.28,direct,
2024-08-08 03:22:00,57494.75,57454.77,57489.28,12.64,726429.38,57463.82,direct,
2024-08-08 03:23:00,57499.96,57463.27,57463.82,12.03,691651.43,57499.72,direct,
2024-08-08 03:24:00,57519.08,57488.85,57499.72,18.82,1082026.44,57512.22,direct,
2024-08-08 03:25:00,57542.54,57462.19,57512.22,12.14,698347.77,57493.28,direct,
2024-08-08 03:26:00,57547.32,57491.65,57493.28,21.79,1253815.58,57540.44,direct,
2024-08-08 03:27:00,57555.27,57509.44,57540.44,27.82,1600948.45,57512.62,direct,
2024-08-08 03:28:00,57535.95,57512.62,57512.62,3.474,199818.93,57528.39,direct,
2024-08-08 03:29:00,57533.35,57497.42,57528.39,16.61,955628.71,57497.42,direct,
2024-08-08 03:30:00,57524.42,57494.63,57497.42,11.21,645000.92,57494.63,direct,
2024-08-08 03:31:00,57532.94,57494.63,57494.63,9.534,548429.54,57529.12,direct,
2024-08-08 03:32:00,57535.68,57501.66,57529.12,11.65,670157.07,57516.94,direct,
2024-08-08 03:33:00,57557.27,57516.94,57516.94,14.76,849699.77,57522.34,direct,
2024-08-08 03:34:00,57527.83,57473.18,57522.34,23.27,1339724.41,57473.18,direct,
2024-08-08 03:35:00,57473.18,57430.63,57473.18,14.45,830212.95,57431.5,direct,
2024-08-08 03:36:00,57452.23,57424.48,57431.5,9.56,549160.99,57448.83,direct,
2024-08-08 03:37:00,57453.86,57400.25,57448.83,20.87,1198641.49,57405.46,direct,
2024-08-08 03:38:00,57413.28,57373.34,57405.46,12.7,728899.27,57377.51,direct,
2024-08-08 03:39:00,57381.06,57321.08,57377.51,8.345,478668.12,57325.14,direct,
2024-08-08 03:40:00,57335.14,57269.58,57325.14,17.15,982563.66,57294.84,direct,
2024-08-08 03:41:00,57327.65,57294.84,57294.84,9.986,572442.86,57307.23,direct,
2024-08-08 03:42:00,57331.82,57302.32,57307.23,9.245,529920.0,57326.7,direct,
2024-08-08 03:43:00,57358.76,57316.88,57326.7,13.96,800227.28,57348.78,direct,
2024-08-08 03:44:00,57382.67,57348.49,57348.78,6.936,397900.99,57382.02,direct,
2024-08-08 03:45:00,57384.01,57345.09,57382.02,7.911,453881.88,57360.62,direct,
2024-08-08 03:46:00,57366.55,57332.22,57360.62,7.919,454176.5,57332.22,direct,
2024-08-08 03:47:00,57344.61,57325.4,57332.22,5.34,306161.14,57328.49,direct,
2024-08-08 03:48:00,57328.49,57293.59,57328.49,12.87,737268.92,57300.78,direct,
2024-08-08 03:49:00,57301.7,57267.96,57300.78,16.73,958624.65,57289.83,direct,
2024-08-08 03:50:00,57289.83,57231.18,57289.83,12.77,730923.88,57258.0,direct,
2024-08-08 03:51:00,57292.81,57257.98,57258.0,8.458,484556.04,57277.85,direct,
